property_type,listing_agency,price,location_number,city,zip_code,product_depth,bedroom_count,bathroom_count,parking_count
House,Professionals - DARWIN CITY,435000,139468611,Darwin City,800,premiere,2,1,1
Apartment,Nick Mousellis Real Estate - Eview Group Member,320000,139463755,Darwin City,800,premiere,3,2,2
Unit,Habitat Real Estate - THE GARDENS,310000,139462495,Darwin City,800,premiere,2,1,1
House,Ray White - NIGHTCLIFF,259000,139451679,Darwin City,800,premiere,1,1,0
Unit,Carol Need Real Estate - Fannie Bay,439000,139433803,Darwin City,800,premiere,3,2,2
Apartment,iProperty NT - Darwin,825000,139434039,Darwin City,800,premiere,3,2,2
Unit,Nicole Wheeler@realty - LARRAKEYAH,820000,139433055,Darwin City,800,premiere,3,2,2
Unit,Property Shop - Darwin,369000,139419411,Darwin City,800,premiere,2,1,1
Unit,Real Estate Central Projects - Darwin,439000,139407883,Darwin City,800,premiere,2,2,1
Apartment,Real Estate Central - DARWIN CITY,455000,139395811,Darwin City,800,premiere,2,2,1
Apartment,Professionals - DARWIN CITY,280000,139393067,Darwin City,800,premiere,1,1,1
Unit,Elders Real Estate - Darwin,439000,139363187,Darwin City,800,premiere,2,2,2
House,Knight Frank (NT) - Darwin,775000,139356543,Darwin City,800,premiere,3,2,2
Apartment,Get Realty - PALMERSTON CITY,625000,139349347,Darwin City,800,premiere,3,2,2
Unit,Territory Real Estate - Darwin,599000,139339003,Darwin City,800,premiere,2,2,2
Apartment,Knight Frank (NT) - Darwin,490000,139336003,Darwin City,800,premiere,1,1,1
Unit,Nick Mousellis Real Estate - Eview Group Member,337500,139319539,Darwin City,800,premiere,1,1,0
House,Call2View Real Estate - Palmerston,439000,139318927,Darwin City,800,premiere,2,2,1
Apartment,All Real Estate NT,440000,139312507,Darwin City,800,midtier,2,2,2
Apartment,Professionals - DARWIN CITY,640000,139299807,Darwin City,800,premiere,2,2,2
Apartment,Knight Frank (NT) - Darwin,500000,139287567,Darwin City,800,premiere,1,1,1
Unit,Absolute Real Estate NT - Darwin,305000,139278451,Darwin City,800,premiere,1,1,1
Unit,Absolute Real Estate NT - Darwin,295000,139278075,Darwin City,800,premiere,1,1,1
Unit,Colliers International - Darwin,795000,139277147,Darwin City,800,premiere,3,3,4
Unit,Core Realty NT - RAPID CREEK,950000,139267215,Darwin City,800,premiere,3,2,2
House,Ray White - NIGHTCLIFF,485000,139233515,Darwin City,800,premiere,2,2,2
Unit,Property Shop - Darwin,250000,131091530,Darwin City,800,premiere,1,1,1
Apartment,Darwin Residential and Commercial Real Estate Pty Ltd - CASUARINA,549000,139203271,Darwin City,800,premiere,2,2,2
Apartment,Knight Frank (NT) - Darwin,299000,139202891,Darwin City,800,premiere,1,1,1
Apartment,Elaine Mills Property Management - COOLALINGA,395000,139201043,Darwin City,800,premiere,3,1,1
Unit,LJ Hooker Darwin -   ,475000,139195495,Darwin City,800,premiere,2,2,2
Apartment,Knight Frank (NT) - Darwin,465000,139167095,Darwin City,800,premiere,1,1,1
Apartment,Real Estate Central Projects - Darwin,600000,139131591,Darwin City,800,premiere,3,2,2
House,Ray White City (NT) -    ,450000,139095611,Darwin City,800,premiere,1,1,1
Apartment,Real Estate Central - DARWIN CITY,749000,139091675,Darwin City,800,premiere,3,2,2
Unit,Real Estate NT by George Pikos - FANNIE BAY,289000,139050507,Darwin City,800,premiere,1,1,1
Apartment,Ausway Group,490000,139047935,Darwin City,800,premiere,2,2,2
Unit,Habitat Real Estate - THE GARDENS,565000,139027019,Darwin City,800,premiere,2,2,2
Apartment,Call2View Real Estate - Palmerston,399000,139024171,Darwin City,800,premiere,2,2,2
Apartment,First National Real Estate O'Donoghues - Darwin,469000,139023195,Darwin City,800,premiere,3,2,2
Apartment,First National Real Estate O'Donoghues - Darwin,649000,139012015,Darwin City,800,premiere,4,2,2
Unit,Territory Real Estate - Darwin,499000,138985619,Darwin City,800,feature,1,1,1
Apartment,Professionals - DARWIN CITY,400000,138982163,Darwin City,800,premiere,2,2,1
Apartment,First National Real Estate O'Donoghues - Darwin,800000,138965203,Darwin City,800,premiere,3,2,2
Apartment,Renee's Realty NT - DURACK,299000,138947235,Darwin City,800,premiere,1,1,1
Unit,Property Now - MOOLOOLABA,580000,138918695,Darwin City,800,standard,1,1,1
Apartment,Raine & Horne - Darwin,375000,138917719,Darwin City,800,premiere,2,2,2
Apartment,North Property NT - STUART PARK,489000,138898599,Darwin City,800,feature,2,2,1
Unit,Elders Real Estate - Darwin,195000,138882163,Darwin City,800,premiere,1,1,1
Apartment,LJ Hooker Darwin -   ,505000,138876263,Darwin City,800,premiere,2,2,2
Apartment,Ausway Group,325000,138865099,Darwin City,800,feature,2,2,2
Apartment,No Agent Property - BRIGHTON EAST,539000,138863175,Darwin City,800,standard,2,2,1
Apartment,Piening Property Sales - COOLALINGA,180000,138861435,Darwin City,800,feature,1,1,0
Unit,Property Now - MOOLOOLABA,145000,138798511,Darwin City,800,standard,1,1,0
Apartment,Ausway Group,215000,138784347,Darwin City,800,feature,1,1,1
Apartment,@realty - National Head Office Australia,450000,138760927,Darwin City,800,standard,2,2,1
Apartment,David Booth Real Estate Pty Ltd - Darwin,865000,138754883,Darwin City,800,standard,3,2,2
Apartment,Elders Real Estate - Darwin,400000,138748811,Darwin City,800,premiere,2,2,1
Unit,LJ Hooker Darwin -   ,369000,138732019,Darwin City,800,premiere,2,2,2
Apartment,Knight Frank (NT) - Darwin,350000,138713867,Darwin City,800,feature,1,1,1
Unit,Real Estate Central - DARWIN CITY,549000,138708715,Darwin City,800,premiere,3,2,2
